CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,5,115,At Risk
12347.0,3,7,4310.0,5,5,5,555,Loyal
12348.0,76,4,1797.24,2,4,4,244,Others
12349.0,19,1,1757.55,4,1,4,414,Others
12350.0,311,1,334.4,1,1,2,112,At Risk
12352.0,37,8,2506.04,3,5,5,355,Others
12353.0,205,1,89.0,1,1,1,111,At Risk
12354.0,233,1,1079.4,1,1,4,114,At Risk
12355.0,215,1,459.4,1,1,2,112,At Risk
12356.0,23,3,2811.43,4,3,5,435,Others
12357.0,34,1,6207.67,3,1,5,315,Others
12358.0,2,2,1168.06,5,2,4,524,Champions
12359.0,58,4,6310.03,3,4,5,345,Others
12360.0,53,3,2662.06,3,3,5,335,Others
12361.0,288,1,189.9,1,1,1,111,At Risk
12362.0,4,10,5226.23,5,5,5,555,Loyal
12363.0,110,2,552.0,2,2,3,223,At Risk
12364.0,8,4,1313.1,5,4,4,544,Loyal
12365.0,292,2,641.38,1,2,3,123,At Risk
12367.0,5,1,168.9,5,1,1,511,Others
12370.0,52,4,3541.94,3,4,5,345,Others
12371.0,45,2,1887.96,3,2,4,324,Others
12372.0,72,3,1298.04,3,3,4,334,Others
12373.0,312,1,364.6,1,1,2,112,At Risk
12374.0,26,1,742.9300000000001,4,1,3,413,Others
12375.0,11,2,457.5,5,2,2,522,Others
12377.0,316,2,1628.12,1,2,4,124,At Risk
12378.0,130,1,4008.62,2,1,5,215,At Risk
12379.0,82,2,852.24,2,2,3,223,At Risk
12380.0,22,4,2724.81,4,4,5,445,Loyal
12381.0,5,5,1845.31,5,4,4,544,Loyal
12383.0,185,5,1850.56,1,4,4,144,Others
12384.0,29,2,585.27,4,2,3,423,Others
12386.0,338,2,401.9,1,2,2,122,At Risk
12388.0,16,6,2780.66,4,4,5,445,Loyal
12390.0,80,1,549.84,2,1,3,213,At Risk
12391.0,22,1,439.66,4,1,2,412,Others
12393.0,73,4,1582.6000000000001,2,4,4,244,Others
12394.0,64,2,1272.48,3,2,4,324,Others
12395.0,20,12,3018.63,4,5,5,455,Loyal
12397.0,36,2,2409.9,3,2,5,325,Others
12398.0,46,1,1635.6599999999999,3,1,4,314,Others
12399.0,120,4,1108.65,2,4,4,244,Others
12401.0,304,1,84.3,1,1,1,111,At Risk
12402.0,324,1,225.6,1,1,1,111,At Risk
12403.0,50,1,427.7,3,1,2,312,Others
12405.0,149,1,1710.39,2,1,4,214,At Risk
12406.0,23,2,3415.3,4,2,5,425,Others
12407.0,50,5,1708.1200000000001,3,4,4,344,Others
12408.0,33,5,2888.55,4,4,5,445,Loyal
12409.0,79,3,11072.67,2,3,5,235,Others
12410.0,309,2,693.3299999999999,1,2,3,123,At Risk
12412.0,75,3,1226.88,2,3,4,234,Others
12413.0,67,3,758.1,3,3,3,333,Others
12414.0,218,3,562.41,1,3,3,133,Others
12415.0,25,21,124914.53,4,5,5,455,Loyal
12417.0,4,9,3649.1,5,5,5,555,Loyal
12418.0,113,1,668.58,2,1,3,213,At Risk
12420.0,64,1,600.39,3,1,3,313,Others
12421.0,16,4,807.04,4,4,3,443,Loyal
12422.0,96,3,803.5600000000001,2,3,3,233,Others
12423.0,1,8,1859.31,5,5,4,554,Loyal
12424.0,163,2,1760.96,2,2,4,224,At Risk
12425.0,79,1,777.2,2,1,3,213,At Risk
12426.0,195,1,582.73,1,1,3,113,At Risk
12427.0,22,3,825.8,4,3,3,433,Others
12428.0,26,9,7956.46,4,5,5,455,Loyal
12429.0,10,4,3750.4,5,4,5,545,Loyal
12430.0,44,1,256.4,3,1,2,312,Others
12431.0,36,15,6419.95,3,5,5,355,Others
12432.0,43,5,5059.32,3,4,5,345,Others
12433.0,1,7,13375.87,5,5,5,555,Loyal
12434.0,85,2,806.14,2,2,3,223,At Risk
12435.0,80,2,7829.89,2,2,5,225,At Risk
12436.0,100,1,509.01,2,1,3,213,At Risk
12437.0,2,18,4951.41,5,5,5,555,Loyal
12438.0,15,2,2906.85,4,2,5,425,Others
12441.0,367,1,173.55,1,1,1,111,At Risk
12442.0,4,1,172.06,5,1,1,511,Others
12444.0,22,5,5005.46,4,4,5,445,Loyal
12445.0,23,1,133.4,4,1,1,411,Others
12446.0,58,1,1002.3100000000001,3,1,4,314,Others
12447.0,244,1,476.49,1,1,2,112,At Risk
12448.0,45,1,449.45,3,1,2,312,Others
12449.0,23,4,4067.29,4,4,5,445,Loyal
12450.0,157,2,197.88,2,2,1,221,At Risk
12451.0,11,5,9035.52,5,4,5,545,Loyal
12452.0,17,2,430.57,4,2,2,422,Others
12453.0,135,1,707.09,2,1,3,213,At Risk
12454.0,57,1,3528.34,3,1,5,315,Others
12455.0,74,6,2466.86,2,4,5,245,Others
12456.0,45,3,3181.04,3,3,5,335,Others
12457.0,67,7,2363.23,3,5,5,355,Others
12458.0,72,2,947.4,3,2,4,324,Others
12461.0,95,2,826.88,2,2,3,223,At Risk
12462.0,19,2,1189.59,4,2,4,424,Others
12463.0,54,4,1344.78,3,4,4,344,Others
12464.0,11,8,1212.05,5,5,4,554,Loyal
12465.0,18,2,742.1899999999999,4,2,3,423,Others
12468.0,188,2,729.5400000000001,1,2,3,123,At Risk
12471.0,3,30,19788.65,5,5,5,555,Loyal
12472.0,33,7,6572.11,4,5,5,455,Loyal
12473.0,30,5,3928.0499999999997,4,4,5,445,Loyal
12474.0,18,18,7324.09,4,5,5,455,Loyal
12475.0,54,1,723.38,3,1,3,313,Others
12476.0,16,11,6816.42,4,5,5,455,Loyal
12477.0,23,6,13219.74,4,4,5,445,Loyal
12478.0,4,1,680.99,5,1,3,513,Others
12479.0,12,1,527.2,5,1,3,513,Others
12480.0,29,4,3281.63,4,4,5,445,Loyal
12481.0,23,10,5579.82,4,5,5,455,Loyal
12483.0,18,8,2484.98,4,5,5,455,Loyal
12484.0,33,6,4527.32,4,4,5,445,Loyal
12488.0,10,3,1298.66,5,3,4,534,Champions
12489.0,337,1,334.93,1,1,2,112,At Risk
12490.0,6,10,5417.93,5,5,5,555,Loyal
12491.0,39,1,460.40000000000003,3,1,2,312,Others
12492.0,64,2,263.21000000000004,3,2,2,322,Others
12493.0,166,2,433.74,2,2,2,222,At Risk
12494.0,16,7,1246.1000000000001,4,5,4,454,Loyal
12497.0,82,1,1043.1,2,1,4,214,At Risk
12498.0,22,3,403.70000000000005,4,3,2,432,Others
